,Ticker,YearReport,LengthReport,Tong_p,Tong_n,dk1,dk2,dk3,so_luong_1,grade
0,AAS,2025,2,27,21,1,1,1,3,A
1,ABW,2025,2,22,26,0,0,0,0,D
2,AGR,2025,2,23,25,0,0,0,0,D
3,APG,2025,2,23,25,0,1,0,1,C
4,APS,2025,2,23,25,0,1,0,1,C
5,ART,2025,2,12,36,0,0,0,0,D
6,BMS,2025,2,25,23,1,1,1,3,A
7,BSI,2025,2,27,21,1,0,0,1,C
8,BVS,2025,2,31,17,1,1,0,2,B
9,CSI,2025,2,31,17,1,1,1,3,A
10,CTS,2025,2,33,15,1,1,1,3,A
11,DSC,2025,2,21,27,0,0,1,1,C
12,DSE,2025,2,24,24,0,0,1,1,C
13,EVS,2025,2,19,29,0,0,0,0,D
14,FTS,2025,2,20,28,0,0,0,0,D
15,HAC,2025,2,29,19,1,1,1,3,A
16,HBS,2025,2,25,23,1,1,1,3,A
17,HCM,2025,2,14,34,0,0,0,0,D
18,IVS,2025,2,27,21,1,1,1,3,A
19,MBS,2025,2,16,32,0,0,0,0,D
20,ORS,2025,2,21,27,0,0,0,0,D
21,PHS,2025,2,28,20,1,1,1,3,A
22,PSI,2025,2,26,22,1,1,1,3,A
23,SBS,2025,2,17,31,0,0,0,0,D
24,SHS,2025,2,38,10,1,1,1,3,A
25,SSI,2025,2,15,33,0,1,1,2,B
26,TCI,2025,2,19,29,0,0,0,0,D
27,TVB,2025,2,21,27,0,0,0,0,D
28,TVS,2025,2,24,24,0,1,1,2,B
29,VCI,2025,2,24,24,0,0,0,0,D
30,VDS,2025,2,19,29,0,0,0,0,D
31,VFS,2025,2,20,28,0,1,0,1,C
32,VIG,2025,2,14,34,0,0,0,0,D
33,VIX,2025,2,32,16,1,1,1,3,A
34,VND,2025,2,25,23,1,1,1,3,A
35,VUA,2025,2,21,27,0,1,0,1,C
36,WSS,2025,2,32,16,1,1,1,3,A
