Ticker,dk1,dk2,dk3,total_conditions,grade
AAS,1,2,1.0,4.0,B
ABW,1,1,0.0,2.0,D
AGR,1,1,0.0,2.0,D
APG,0,1,0.0,1.0,E
APS,0,2,0.0,2.0,D
ART,0,1,0.0,1.0,E
BMS,2,2,1.0,5.0,A
BSI,2,0,0.0,2.0,D
BVS,1,2,0.0,3.0,C
CSI,1,2,1.0,4.0,B
CTS,1,2,1.0,4.0,B
DNSE,0,0,0.0,0.0,F
DSC,1,0,1.0,2.0,D
DSE,0,1,1.0,2.0,D
EVS,0,0,0.0,0.0,F
FTS,0,1,0.0,1.0,E
HAC,2,1,1.0,4.0,B
HBS,2,1,1.0,4.0,B
HCM,1,1,0.0,2.0,D
IVS,2,1,1.0,4.0,B
MBS,1,1,0.0,2.0,D
ORS,1,1,0.0,2.0,D
PHS,1,1,1.0,3.0,C
PSI,2,2,1.0,5.0,A
SBS,1,0,0.0,1.0,E
SHS,3,1,1.0,5.0,A
SSI,1,2,1.0,4.0,B
TCI,0,1,0.0,1.0,E
TVB,2,1,0.0,3.0,C
TVS,1,1,1.0,3.0,C
VCI,1,1,0.0,2.0,D
VDS,0,0,0.0,0.0,F
VFS,0,1,0.0,1.0,E
VIG,0,0,0.0,0.0,F
VIX,2,1,1.0,4.0,B
VND,1,1,1.0,3.0,C
VUA,1,2,0.0,3.0,C
WSS,2,1,1.0,4.0,B
