Ticker,YearReport,Tong_p,Tong_n,dk1,dk2,so_luong_1,grade
AAS,2024,14,23,0,1,1,B
AAS,2023,9,28,0,0,0,C
ABW,2024,22,15,1,1,2,A
ABW,2023,14,23,0,0,0,C
AGR,2024,19,18,1,1,2,A
AGR,2023,12,25,0,0,0,C
APG,2024,11,26,0,0,0,C
APG,2023,17,20,0,0,0,C
APS,2024,17,20,0,1,1,B
APS,2023,13,24,0,0,0,C
ART,2024,15,22,0,1,1,B
ART,2023,14,23,0,0,0,C
BMS,2024,19,18,1,1,2,A
BMS,2023,18,19,0,0,0,C
BSI,2024,9,28,0,0,0,C
BSI,2023,21,16,1,0,1,B
BVS,2024,17,20,0,1,1,B
BVS,2023,15,22,0,0,0,C
CSI,2024,13,24,0,1,1,B
CSI,2023,10,27,0,0,0,C
CTS,2024,18,19,0,1,1,B
CTS,2023,14,23,0,0,0,C
DSC,2024,14,23,0,0,0,C
DSC,2023,30,7,1,0,1,B
DSE,2024,3,34,0,1,1,B
DSE,2023,2,35,0,0,0,C
EVS,2024,11,26,0,0,0,C
EVS,2023,14,23,0,0,0,C
FTS,2024,18,19,0,1,1,B
FTS,2023,14,23,0,0,0,C
HAC,2024,9,28,0,0,0,C
HAC,2023,22,15,1,0,1,B
HBS,2024,3,34,0,0,0,C
HBS,2023,19,18,1,0,1,B
HCM,2024,21,16,1,1,2,A
HCM,2023,8,29,0,0,0,C
IVS,2024,10,27,0,0,0,C
IVS,2023,23,14,1,0,1,B
MBS,2024,22,15,1,1,2,A
MBS,2023,11,26,0,0,0,C
ORS,2024,20,17,1,1,2,A
ORS,2023,17,20,0,0,0,C
PHS,2024,9,28,0,0,0,C
PHS,2023,12,25,0,0,0,C
PSI,2024,20,17,1,1,2,A
PSI,2023,12,25,0,0,0,C
SBS,2024,10,27,0,0,0,C
SBS,2023,22,15,1,0,1,B
SHS,2024,19,18,1,0,1,B
SHS,2023,19,18,1,0,1,B
SSI,2024,26,11,1,1,2,A
SSI,2023,13,24,0,0,0,C
TCI,2024,15,22,0,1,1,B
TCI,2023,9,28,0,0,0,C
TVB,2024,24,13,1,1,2,A
TVB,2023,23,14,1,0,1,B
TVS,2024,17,20,0,0,0,C
TVS,2023,22,15,1,0,1,B
VCI,2024,24,13,1,1,2,A
VCI,2023,3,34,0,0,0,C
VDS,2024,16,21,0,0,0,C
VDS,2023,18,19,0,0,0,C
VFS,2024,13,24,0,0,0,C
VFS,2023,15,22,0,0,0,C
VIG,2024,6,31,0,0,0,C
VIG,2023,15,22,0,0,0,C
VIX,2024,10,27,0,0,0,C
VIX,2023,25,12,1,0,1,B
VND,2024,15,22,0,0,0,C
VND,2023,17,20,0,0,0,C
VUA,2024,22,15,1,1,2,A
VUA,2023,10,27,0,0,0,C
WSS,2024,8,29,0,0,0,C
WSS,2023,26,11,1,0,1,B
DNSE,2023,7,30,0,0,0,C
